id,room_type,price_per_night,minimum_nights,rating,number_of_reviews,availability,neighbourhood_group,neighbourhood,latitude,longitude
880267314718704911,Entire home/apt,180,1,0.0,1,178,Manhattan,Upper West Side,40.79338673049422,-73.96471646619017
882132074210475324,Entire home/apt,553,1,0.0,0,220,Manhattan,Theater District,40.76081947903097,-73.98298460324885
881201185244371657,Entire home/apt,240,4,0.0,0,193,Brooklyn,Bedford-Stuyvesant,40.684222659830816,-73.95610627522078
881203281949704456,Entire home/apt,141,30,0.0,0,83,Brooklyn,Bedford-Stuyvesant,40.67751081860356,-73.91116049140692
880322589423595487,Private room,79,1,5.0,3,21,Brooklyn,Bushwick,40.701546787893925,-73.92441225000968
881231561901000628,Entire home/apt,105,30,0.0,0,58,Manhattan,Washington Heights,40.83508911801076,-73.94298985681758
881238250671860482,Private room,99,1,0.0,2,75,Queens,Flushing,40.75787385972994,-73.81367320040118
882134002713902458,Entire home/apt,156,1,0.0,0,108,Brooklyn,Crown Heights,40.66699417593706,-73.93159186481886
880358297118737350,Entire home/apt,250,2,0.0,1,85,Brooklyn,Flatbush,40.64754155947042,-73.95512781441025
882138028631551178,Entire home/apt,155,1,0.0,1,0,Brooklyn,Bedford-Stuyvesant,40.69960084496828,-73.94730304016822
882162955844006096,Private room,180,5,0.0,2,0,Manhattan,Upper East Side,40.77973415479458,-73.95537826580825
881270779058567244,Entire home/apt,201,1,5.0,12,341,Brooklyn,East Flatbush,40.64941518164651,-73.92614800482988
880362937101259794,Entire home/apt,199,4,0.0,1,6,Manhattan,Upper East Side,40.77360120335197,-73.95270630889796
882290535393796940,Entire home/apt,291,30,0.0,0,364,Queens,Woodside,40.7456565,-73.9070911
880374456054376837,Entire home/apt,414,1,0.0,0,163,Brooklyn,Fort Greene,40.69222165543269,-73.98106868250022
882325223426565837,Entire home/apt,347,30,0.0,0,364,Queens,Woodside,40.7456565,-73.9070911
882345223890919233,Entire home/apt,278,30,0.0,0,364,Queens,Woodside,40.7456565,-73.9070911
881292682362497953,Entire home/apt,436,1,0.0,0,5,Brooklyn,Williamsburg,40.71410056524745,-73.9483687229426
881300694126161228,Private room,75,1,0.0,0,359,Queens,Maspeth,40.72429012428172,-73.91342201847542
880434490437032841,Entire home/apt,151,120,0.0,0,202,Brooklyn,Williamsburg,40.7116597,-73.958323
881308253613816864,Entire home/apt,271,1,0.0,0,319,Manhattan,Upper West Side,40.78433916633716,-73.97766581948204
882390867508932260,Private room,76,1,5.0,4,339,Queens,Jamaica,40.70379,-73.80906
880435883388543763,Entire home/apt,135,1,0.0,2,343,Queens,Whitestone,40.78063675656481,-73.82460861867588
882438479817451953,Entire home/apt,166,7,0.0,0,284,Queens,Long Island City,40.74695161935711,-73.94946048110252
881313726862564383,Entire home/apt,214,1,5.0,4,66,Queens,Ozone Park,40.67931434382013,-73.84451799094677
880465322920413746,Entire home/apt,200,1,0.0,0,362,Brooklyn,Flatbush,40.65423858023383,-73.95370773577255
881332060506998108,Entire home/apt,185,3,0.0,0,67,Brooklyn,Brooklyn Heights,40.69297394607194,-73.99427444042651
882449298883136744,Private room,94,1,0.0,0,353,Brooklyn,Greenpoint,40.7247556190278,-73.93930048875629
880473158416436159,Entire home/apt,219,1,0.0,2,362,Brooklyn,Flatbush,40.65247704265747,-73.95501848329316
880476290217593132,Entire home/apt,192,1,0.0,0,360,Brooklyn,Flatbush,40.65292634550658,-73.95395589266434
882471042589354401,Entire home/apt,680,30,0.0,0,339,Manhattan,SoHo,40.72147,-73.99853
